"","Index","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"60",2007-03-29,13.455714,13.455714,13.175714,13.392858,181430900,11.688127
"61",2007-03-30,13.468572,13.525714,13.25,13.272857,150139500,11.583396
"62",2007-04-02,13.448571,13.464286,13.288571,13.378572,125498100,11.675657
"63",2007-04-03,13.448571,13.604285,13.394286,13.5,145983600,11.78163
"64",2007-04-04,13.562857,13.591429,13.447143,13.467143,119196000,11.752955
"65",2007-04-05,13.445714,13.525714,13.36,13.525714,88879000,11.80407
"66",2007-04-09,13.601429,13.614285,13.291429,13.378572,103335400,11.675657
"67",2007-04-10,13.381429,13.465714,13.344286,13.464286,88116700,11.75046
"68",2007-04-11,13.414286,13.421429,13.19,13.227143,137254600,11.543502
"69",2007-04-12,13.148571,13.187143,12.96,13.17,164168900,11.493633
"70",2007-04-13,12.985714,13.057143,12.865714,12.891429,179985400,11.250519
"71",2007-04-16,12.938571,13.071428,12.892858,13.061429,152258400,11.398881
"72",2007-04-17,13.142858,13.185715,12.814285,12.907143,187980100,11.264235
"73",2007-04-18,12.88,12.978572,12.8,12.914286,116011000,11.270469
"74",2007-04-19,12.884286,13.035714,12.832857,12.895715,106478400,11.25426
"75",2007-04-20,12.984285,13.025714,12.935715,12.995714,130694900,11.341533
"76",2007-04-23,13.084286,13.4,13.06,13.358571,195072500,11.658201
"77",2007-04-24,13.422857,13.77,13.042857,13.32,263813200,11.624538
"78",2007-04-25,13.461429,13.628572,13.4,13.621428,296786000,11.8876
"79",2007-04-26,14.511429,14.642858,14.042857,14.12,434444500,12.32271
"80",2007-04-27,14.025714,14.278571,13.955714,14.274285,174850900,12.457358
"81",2007-04-30,14.298572,14.428572,14.238571,14.257143,154127400,12.442398
"82",2007-05-01,14.227143,14.335714,14.078571,14.21,133130900,12.401255
"83",2007-05-02,14.235714,14.362857,14.21,14.341429,126286300,12.515955
"84",2007-05-03,14.39,14.492857,14.287143,14.342857,144019400,12.517201
"85",2007-05-04,14.4,14.514286,14.357142,14.401428,95496800,12.568318
"86",2007-05-07,14.44,14.907143,14.43,14.845715,215389300,12.956053
"87",2007-05-08,14.781428,15.021428,14.774285,15.008572,195999300,13.098179
"88",2007-05-09,14.987143,15.28,14.984285,15.268572,179439400,13.325088
"89",2007-05-10,15.232857,15.548572,15.131429,15.334286,299314400,13.382432
"90",2007-05-11,15.391429,15.59,15.254286,15.534286,163424100,13.556976
"91",2007-05-14,15.66,15.714286,15.464286,15.622857,162986600,13.634273
"92",2007-05-15,15.652857,15.742857,15.211429,15.36,238628600,13.404874
"93",2007-05-16,15.504286,15.547143,14.774285,15.334286,281691900,13.382432
"94",2007-05-17,15.307143,15.695714,15.307143,15.634286,183822800,13.644247
"95",2007-05-18,15.747143,15.805715,15.681429,15.717143,155336300,13.716559
"96",2007-05-21,15.758572,16.064285,15.721429,15.997143,159973100,13.960917
"97",2007-05-22,16.07,16.25,16.001429,16.219999,143102400,14.155407
"98",2007-05-23,16.288572,16.428572,16.084286,16.127142,227843700,14.074369
"99",2007-05-24,16.115715,16.351429,15.767143,15.812857,221840500,13.800087
"100",2007-05-25,16,16.254286,15.928572,16.231428,158239900,14.165384
"101",2007-05-29,16.35,16.408571,16.098572,16.335714,161423500,14.256393
"102",2007-05-30,16.328571,16.982857,16.218571,16.967142,369611200,14.807448
"103",2007-05-31,17.152857,17.452858,17.077143,17.312857,324266600,15.109159
"104",2007-06-01,17.299999,17.312857,16.898571,16.914286,221315500,14.761324
"105",2007-06-04,16.947144,17.389999,16.842857,17.332857,221668300,15.126613
"106",2007-06-05,17.344286,17.527143,17.214285,17.524286,230196400,15.293675
"107",2007-06-06,17.471428,17.721428,17.421429,17.662857,278060300,15.414611
"108",2007-06-07,17.855715,18.23,17.598572,17.724285,478769900,15.46822
"109",2007-06-08,17.974285,17.975714,17.469999,17.784286,310420600,15.52058
"110",2007-06-11,18,18.021429,17.077143,17.17,468564600,14.984487
"111",2007-06-12,17.049999,17.387142,16.901428,17.197144,356641600,15.008171
"112",2007-06-13,17.307142,17.312857,16.485714,16.785715,430338300,14.649117
"113",2007-06-14,16.742857,17.064285,16.631428,16.964285,243316500,14.804955
"114",2007-06-15,17.231428,17.238571,17.122858,17.214285,202804700,15.023138
"115",2007-06-18,17.611429,17.882856,17.505714,17.870001,227651200,15.595385
"116",2007-06-19,17.812857,17.858572,17.558571,17.665714,235756500,15.417098
"117",2007-06-20,17.695715,17.808571,17.357143,17.364286,224378000,15.154042
"118",2007-06-21,17.385714,17.755714,17.245714,17.700001,216761300,15.447024
"119",2007-06-22,17.692858,17.778572,17.482857,17.571428,157969000,15.334817
"120",2007-06-25,17.741428,17.870001,17.294285,17.477142,241350900,15.252531
"121",2007-06-26,17.711428,17.714285,16.959999,17.092857,336251300,14.917164
"122",2007-06-27,17.23,17.434286,17.037144,17.412857,243674200,15.19643
"123",2007-06-28,17.48,17.498571,17.142857,17.222857,209535900,15.030616
"124",2007-06-29,17.424286,17.714285,17.298571,17.434286,284460400,15.215133
"125",2007-07-02,17.292856,17.441429,17.042856,17.322857,248715600,15.11789
"126",2007-07-03,17.428572,18.200001,17.357143,18.167143,290620400,15.85471
"127",2007-07-05,18.4,18.995714,18.384285,18.964285,363262900,16.550383
"128",2007-07-06,19.018572,19.048571,18.628571,18.9,218673700,16.49428
"129",2007-07-09,18.911428,18.985714,18.454287,18.618572,248955000,16.248678
"130",2007-07-10,18.411428,19.214285,18.401428,18.907143,313751900,16.500517
"131",2007-07-11,18.867144,19.1,18.758572,18.912857,205443000,16.505503
"132",2007-07-12,19.121429,19.177143,18.912857,19.152857,176152200,16.714956
"133",2007-07-13,19.290001,19.692858,19.217142,19.675714,226901500,17.171253
"134",2007-07-16,19.77,19.997143,19.642857,19.728571,234028200,17.217384
"135",2007-07-17,19.757143,19.942858,19.642857,19.844286,177489900,17.318371
"136",2007-07-18,19.741428,19.777143,19.434286,19.731428,189214200,17.219879
"137",2007-07-19,20.042856,20.115715,19.950001,20,183222900,17.454266
"138",2007-07-20,20.235714,20.597143,20,20.535715,291943400,17.921791
"139",2007-07-23,20.472857,20.745714,20.132856,20.528572,259122500,17.91555
"140",2007-07-24,19.84,20.142857,19.164286,19.27,448823200,16.817184
"141",2007-07-25,19.621429,19.765715,19.285715,19.608572,374045700,17.112661
"142",2007-07-26,20.844286,21.214285,19.565714,20.857143,546657300,18.202301
"143",2007-07-27,20.884285,21.274286,20.540001,20.549999,290274600,17.93425
"144",2007-07-30,20.618572,20.778572,19.938572,20.204287,276747100,17.632549
"145",2007-07-31,20.424286,20.497143,18.788572,18.822857,440598200,16.426958
"146",2007-08-01,19.091429,19.34,18.252857,19.285715,437539200,16.830902
"147",2007-08-02,19.521429,19.565714,19.164286,19.498571,213161200,17.016657
"148",2007-08-03,19.322857,19.421429,18.785715,18.835714,169796900,16.438175
"149",2007-08-06,18.985714,19.324286,18.328571,19.321428,231292600,16.862061
"150",2007-08-07,19.277143,19.605715,18.947144,19.290001,237484100,16.834639
"151",2007-08-08,19.537144,19.551428,18.857143,19.144285,202024200,16.707468
"152",2007-08-09,18.73,19,17.870001,18.055714,281348900,15.757463
"153",2007-08-10,17.588572,18.25,17.185715,17.857143,352687300,15.584167
"154",2007-08-13,18.331429,18.478571,18.071428,18.255714,188227900,15.932004
"155",2007-08-14,18.327143,18.328571,17.672857,17.718571,184751700,15.463228
"156",2007-08-15,17.534286,17.837143,17.092857,17.128571,248213000,14.948328
"157",2007-08-16,16.715714,16.928572,15.945714,16.721428,466672500,14.593012
"158",2007-08-17,17.43,17.642857,17.117144,17.437143,298765600,15.217627
"159",2007-08-20,17.70857,17.785715,17.214285,17.459999,200829300,15.23757
"160",2007-08-21,17.45857,18.422857,17.285715,18.224285,325761800,15.904574
"161",2007-08-22,18.745714,18.964285,18.618572,18.93,265441400,16.52046
"162",2007-08-23,19.012857,19.048571,18.537144,18.724285,216709500,16.340935
"163",2007-08-24,18.647142,19.338572,18.544285,19.328571,227958500,16.868299
"164",2007-08-27,19.055714,19.237143,18.871429,18.892857,176859900,16.488049
"165",2007-08-28,18.712856,18.915714,18.09,18.117144,294841400,15.811072
"166",2007-08-29,18.554285,19.168571,18.505714,19.154285,291715200,16.716194
"167",2007-08-30,18.952858,19.75,18.9,19.464285,358895600,16.98674
"168",2007-08-31,19.927143,19.950001,19.629999,19.782858,219221800,17.264759
"169",2007-09-04,19.991428,20.818571,19.977142,20.594286,329210700,17.972904
"170",2007-09-05,20.709999,20.834286,19.442858,19.537144,582055600,17.050323
"171",2007-09-06,19.365715,19.652857,18.95857,19.287144,475315400,16.832151
"172",2007-09-07,18.858572,18.9,18.571428,18.824286,357644000,16.428204
"173",2007-09-10,19.57,19.719999,19.135714,19.530001,371959700,17.044088
"174",2007-09-11,19.700001,19.757143,19.107143,19.355715,242971400,16.891987
"175",2007-09-12,19.427143,19.914286,19.392857,19.549999,255692500,17.061541
"176",2007-09-13,19.832857,19.857143,19.521429,19.6,164040800,17.105179
"177",2007-09-14,19.51,19.854286,19.457144,19.83,151830000,17.305904
"178",2007-09-17,19.855715,20.084286,19.657143,19.772858,198342900,17.256035
"179",2007-09-18,19.865715,20.407143,19.690001,20.131428,266022400,17.568962
"180",2007-09-19,20.431429,20.451429,19.914286,20.110001,256720100,17.550268
"181",2007-09-20,20.021429,20.255714,19.902857,20.044285,172960200,17.492914
"182",2007-09-21,20.162857,20.664286,20.044285,20.592857,284720100,17.971657
"183",2007-09-24,20.961428,21.407143,20.950001,21.182858,263040400,18.486563
"184",2007-09-25,20.977142,21.888571,20.974285,21.882856,298137700,19.097462
"185",2007-09-26,22.067142,22.142857,21.607143,21.824286,243817000,19.046341
"186",2007-09-27,21.967142,22.074286,21.76,22.071428,164549700,19.262026
"187",2007-09-28,21.92,22.085714,21.821428,21.924286,153775300,19.133615
"188",2007-10-01,22.09,22.487143,21.847143,22.334286,209267100,19.491426
"189",2007-10-02,22.364286,22.655714,22.27,22.635714,198017400,19.754486
"190",2007-10-03,22.540001,22.74,22.43,22.559999,173129600,19.688414
"191",2007-10-04,22.571428,22.582857,21.928572,22.32,164239600,19.478962
"192",2007-10-05,22.624287,23.082857,22.528572,23.064285,235867800,20.128511
"193",2007-10-08,23.355715,23.987143,23.281429,23.987143,208982200,20.933893
"194",2007-10-09,24.314285,24.444286,23.811428,23.98,276071600,20.92766
"195",2007-10-10,23.935715,23.982857,23.657143,23.827143,166897500,20.794264
"196",2007-10-11,24.212856,24.554285,21.887142,23.175714,410998000,20.22575
"197",2007-10-12,23.287144,23.897142,23.114286,23.892857,247044000,20.851614
"198",2007-10-15,23.997143,24.224285,23.357143,23.854286,269482500,20.817959
"199",2007-10-16,23.648571,24.311428,23.592857,24.225714,266957600,21.142103
"200",2007-10-17,24.67,24.719999,24.168571,24.678572,281903300,21.537317
"201",2007-10-18,24.5,24.884285,24.435715,24.785715,205919000,21.630817
"202",2007-10-19,24.891428,24.947144,24.285715,24.345715,322945000,21.246828
"203",2007-10-22,24.335714,24.985714,24.280001,24.908571,412374900,21.738039
"204",2007-10-23,26.937143,26.942858,26.108572,26.594286,448791000,23.209187
"205",2007-10-24,26.544285,26.744286,25.605715,26.561428,322120400,23.18051
"206",2007-10-25,26.41,26.557142,25.951429,26.111429,243400500,22.78779
"207",2007-10-26,26.469999,26.481428,26.125713,26.385714,176719200,23.027163
"208",2007-10-29,26.492857,26.655714,26.385714,26.441429,135138500,23.075779
"209",2007-10-30,26.597143,27.052856,26.389999,26.714285,234853500,23.313911
"210",2007-10-31,26.804285,27.16,26.421429,27.135714,208327700,23.681696
"211",2007-11-01,26.942858,27.157143,25.714285,26.777143,201259100,23.368767
"212",2007-11-02,27.030001,27.062857,26.212856,26.838572,250528600,23.422375
"213",2007-11-05,26.469999,26.994286,26.32,26.597143,201044200,23.211679
"214",2007-11-06,26.721428,27.428572,26.467142,27.398571,238681800,23.911095
"215",2007-11-07,27.23,27.525715,26.59,26.614286,248581900,23.226639
"216",2007-11-08,26.667143,26.700001,23.967142,25.067142,472594500,21.876427
"217",2007-11-09,24.450001,25.017143,23.601429,23.624287,381595200,20.617228
"218",2007-11-12,23.611429,23.957144,21.518572,21.965714,442266300,19.169764
"219",2007-11-13,22.978571,24.425714,21.965714,24.280001,434861700,21.18948
"220",2007-11-14,25.308571,25.367144,23.391428,23.73,362292000,20.709486
"221",2007-11-15,23.77,24.227142,22.9,23.471428,371852600,20.483829
"222",2007-11-16,23.614286,23.860001,22.761429,23.77,345873500,20.744392
"223",2007-11-19,23.728571,24.028572,23.157143,23.421429,288607200,20.440191
"224",2007-11-20,23.667143,24.54143,23.361429,24.121429,385910700,21.05109
"225",2007-11-21,23.691429,24.621429,23.524286,24.065714,304452400,21.002466
"226",2007-11-23,24.571428,24.578571,24.25,24.505714,116439400,21.386463
"227",2007-11-26,24.798571,25.324286,24.621429,24.648571,326438700,21.511131
"228",2007-11-27,25.031429,25.112858,24.287144,24.972857,329257600,21.794144
"229",2007-11-28,25.26,25.799999,25.049999,25.745714,287728000,22.468626
"230",2007-11-29,25.632856,26.452858,25.592857,26.327143,262731700,22.976048
"231",2007-11-30,26.762857,26.814285,25.671429,26.031429,296950500,22.717972
"232",2007-12-03,25.98,26.305714,25.385714,25.551428,240367400,22.299068
"233",2007-12-04,25.307142,25.842857,25.284286,25.687143,193449900,22.417509
"234",2007-12-05,26.127142,26.571428,26.058571,26.5,223100500,23.126902
"235",2007-12-06,26.598572,27.157143,26.588572,27.135714,224952700,23.681696
"236",2007-12-07,27.219999,27.855715,26.862858,27.757143,266516600,24.224024
"237",2007-12-10,27.655714,27.951429,27.527143,27.744286,180594400,24.212805
"238",2007-12-11,27.821428,28.118572,26.77,26.934286,277731300,23.505911
"239",2007-12-12,27.634285,27.782858,26.537144,27.265715,306415200,23.795147
"240",2007-12-13,27.17,27.445715,26.831429,27.404285,216154400,23.916086
"241",2007-12-14,27.195715,27.6,27.077143,27.198572,168578200,23.736555
"242",2007-12-17,27.245714,27.521429,26.139999,26.342857,256173400,22.989765
"243",2007-12-18,26.645714,26.761429,25.514286,26.139999,305650800,22.812723
"244",2007-12-19,26.139999,26.377142,25.842857,26.16,206869600,22.830177
"245",2007-12-20,26.49,26.832857,26.190001,26.744286,193514300,23.340088
"246",2007-12-21,27.16,27.701429,27.127142,27.701429,248490200,24.175402
"247",2007-12-24,27.861429,28.475714,27.827143,28.4,120050700,24.785059
"248",2007-12-26,28.43,28.70857,28.117144,28.421429,175933100,24.803761
"249",2007-12-27,28.421429,28.994286,28.257143,28.367144,198881900,24.756376
"250",2007-12-28,28.655714,28.794285,28.125713,28.547142,174911800,24.913471
"251",2007-12-31,28.5,28.642857,28.25,28.297142,134833300,24.69529
"252",2008-01-02,28.467142,28.608572,27.507143,27.834286,269794700,24.291348
"253",2008-01-03,27.915714,28.198572,27.527143,27.847143,210516600,24.302565
"254",2008-01-04,27.35,27.571428,25.555714,25.721428,363958000,22.44743
"255",2008-01-07,25.892857,26.228571,24.318571,25.377142,518048300,22.146969
"256",2008-01-08,25.734285,26.065714,24.4,24.464285,380954000,21.350306
"257",2008-01-09,24.471428,25.642857,24.042856,25.628571,453470500,22.366394
"258",2008-01-10,25.368572,25.857143,25.058571,25.431429,370743800,22.194349
"259",2008-01-11,25.142857,25.407143,24.285715,24.67,308071400,21.529837
"260",2008-01-14,25.360001,25.631428,25.024286,25.540001,275112600,22.289093
"261",2008-01-15,25.388571,25.602858,23.522858,24.148571,585819500,21.074778
"262",2008-01-16,23.604286,24.144285,22.385714,22.805714,553461300,19.902853
"263",2008-01-17,23.072857,23.622858,22.631428,22.984285,439464900,20.058691
"264",2008-01-18,23.101429,23.678572,22.801428,23.051428,431085900,20.117281
"265",2008-01-22,21.151428,22.854286,20.857143,22.234285,608688500,19.404152
"266",2008-01-23,19.455715,20,18.02,19.867144,843242400,17.338318
"267",2008-01-24,19.998571,20.1,18.858572,19.371429,501466700,16.905699
"268",2008-01-25,19.855715,19.870001,18.515715,18.572857,388684800,16.208778
"269",2008-01-28,18.308571,19.028572,18.064285,18.572857,368711000,16.208778
"270",2008-01-29,18.735714,18.969999,18.435715,18.79143,274995700,16.39953
"271",2008-01-30,18.767143,19.35,18.571428,18.882856,310762900,16.479322
"272",2008-01-31,18.492857,19.521429,18.485714,19.337143,336418600,16.875782
"273",2008-02-01,19.462856,19.512857,18.882856,19.107143,252686000,16.675064
"274",2008-02-04,19.172857,19.414286,18.774286,18.807142,224808500,16.41324
"275",2008-02-05,18.632856,19.142857,18.414286,18.48,285260500,16.127743
"276",2008-02-06,18.690001,18.845715,17.395714,17.428572,393318100,15.210143
"277",2008-02-07,17.138571,17.825714,16.752857,17.32,520832900,15.115395
"278",2008-02-08,17.440001,17.957144,17.371429,17.925714,338993200,15.644011
"279",2008-02-11,18.287144,18.568571,18.171429,18.492857,300358100,16.138962
"280",2008-02-12,18.671429,18.714285,17.66,17.837143,306495000,15.56671
"281",2008-02-13,18.097143,18.540001,17.947144,18.485714,242133500,16.132723
"282",2008-02-14,18.485714,18.685715,18.144285,18.20857,238524300,15.890857
"283",2008-02-15,18.038572,18.154285,17.722857,17.804285,225325100,15.538036
"284",2008-02-19,17.998571,18.107143,17.348572,17.454287,251261500,15.232587
"285",2008-02-20,17.457144,17.799999,17.382856,17.688572,241859800,15.43705
"286",2008-02-21,18.007143,18.067142,17.265715,17.362858,234528700,15.152798
"287",2008-02-22,17.497143,17.501429,16.552856,17.065714,382469500,14.893475
"288",2008-02-25,16.941429,17.167143,16.665714,17.105715,314193600,14.928385
"289",2008-02-26,16.805714,17.298571,16.491428,17.021429,376222000,14.854825
"290",2008-02-27,16.889999,17.578571,16.870001,17.565714,368784500,15.329833
"291",2008-02-28,18.171429,18.885714,17.967142,18.558571,404563600,16.196314
"292",2008-02-29,18.469999,18.601429,17.828571,17.860001,313870200,15.586656
"293",2008-03-03,17.777143,17.997143,16.857143,17.389999,398260800,15.176484
"294",2008-03-04,17.427143,17.84,17.200001,17.802856,446345900,15.536789
"295",2008-03-05,17.654285,17.877142,17.464285,17.784286,305459000,15.52058
"296",2008-03-06,17.801428,18.214285,17.258572,17.275715,368424700,15.076741
"297",2008-03-07,17.201429,17.568571,17.007143,17.464285,307615700,15.241315
"298",2008-03-10,17.425714,17.637142,17.052856,17.098572,249897200,14.922149
"299",2008-03-11,17.728571,18.211428,17.428572,18.192858,290985800,15.877151
"300",2008-03-12,18.148571,18.382856,17.881428,18.004286,264907300,15.712577
"301",2008-03-13,17.728571,18.5,17.571428,18.277143,315525700,15.950705
"302",2008-03-14,18.554285,18.614286,17.742857,18.087143,289160200,15.784891
"303",2008-03-17,17.507143,18.370001,17.507143,18.104286,268149700,15.79985
"304",2008-03-18,18.454287,19,18.381428,18.974285,301280000,16.559107
"305",2008-03-19,19.017143,19.184286,18.524286,18.524286,252634200,16.166395
"306",2008-03-20,18.731428,19.04143,18.454287,19.038572,227196900,16.615211
"307",2008-03-24,19.144285,20.121429,19.091429,19.932858,266730100,17.395666
"308",2008-03-25,19.994286,20.442858,19.618572,20.139999,263097800,17.576445
"309",2008-03-26,20.124287,20.82,20.091429,20.722857,295521100,18.085114
"310",2008-03-27,20.707144,20.758572,19.998571,20.035715,249957400,17.485432
"311",2008-03-28,20.257143,20.664286,20.228571,20.43,178652600,17.829536
"312",2008-03-31,20.467142,20.815714,20.360001,20.5,192016300,17.890621
"313",2008-04-01,20.9,21.379999,20.515715,21.361429,258141800,18.642397
"314",2008-04-02,21.254286,21.6,20.835714,21.07,261242100,18.388065
"315",2008-04-03,21.008572,21.947144,21,21.658571,262892000,18.90172
"316",2008-04-04,21.741428,22.101429,21.535715,21.868572,213604300,19.084988
"317",2008-04-07,22.304285,22.812857,22.158571,22.27,289581600,19.43532
"318",2008-04-08,21.935715,22.35,21.76,21.834286,253573600,19.055071
"319",2008-04-09,21.901428,21.984285,21.494286,21.634285,218349600,18.880529
"320",2008-04-10,21.59,22.202858,21.514286,22.078571,238940800,19.268257
"321",2008-04-11,21.817142,21.9,20.914286,21.02,302519000,18.344429
"322",2008-04-14,20.967142,21.321428,20.648571,21.111429,211271900,18.424221
"323",2008-04-15,21.342857,21.388571,20.817142,21.197144,174509300,18.499035
"324",2008-04-16,21.674286,22.014286,21.517143,21.957144,198943500,19.162292
"325",2008-04-17,22.024286,22.285715,21.907143,22.07,176066800,19.260777
"326",2008-04-18,22.731428,23.18,22.625713,23.005714,256691400,20.077394
"327",2008-04-21,23.172857,24.071428,23.108572,24.022858,259788200,20.965057
"328",2008-04-22,23.914286,24,22.584286,22.885714,359893100,19.972664
"329",2008-04-23,23.435715,23.548571,23.011429,23.27,376047700,20.308035
"330",2008-04-24,23.620001,24.282858,22.741428,24.134285,424016600,21.062307
"331",2008-04-25,24.385714,24.442858,23.774286,24.247143,248118500,21.160807
"332",2008-04-28,24.25,24.821428,24.161428,24.605715,196803600,21.47373
"333",2008-04-29,24.444286,25.094286,24.321428,25.007143,230869100,21.824062
"334",2008-04-30,25.17,25.714285,24.702858,24.85,284881100,21.686924
"335",2008-05-01,24.994286,25.714285,24.98,25.714285,225894200,22.441196
"336",2008-05-02,25.741428,25.988571,25.507143,25.848572,251520500,22.558392
"337",2008-05-05,25.988571,26.472857,25.864286,26.389999,213639300,23.030899
"338",2008-05-06,26.379999,26.731428,26.025715,26.665714,229717600,23.271523
"339",2008-05-07,26.578571,26.885714,25.79143,26.084286,289283400,22.764105
"340",2008-05-08,26.252857,26.642857,26.152857,26.437143,224771400,23.072046
"341",2008-05-09,26.165714,26.321428,25.91,26.207144,168268100,22.871323
"342",2008-05-12,26.45857,26.981428,26.121429,26.879999,204640800,23.45853
"343",2008-05-13,26.944286,27.35,26.837143,27.137142,205809100,23.682943
"344",2008-05-14,27.318571,27.462856,26.51,26.608572,229205900,23.221655
"345",2008-05-15,26.687143,27.128571,26.314285,27.104286,218302000,23.65427
"346",2008-05-16,27.158571,27.185715,26.714285,26.802856,191442300,23.391205
"347",2008-05-19,26.837143,26.955715,25.9,26.228571,236455100,22.89002
"348",2008-05-20,25.974285,26.594286,25.731428,26.557142,242462500,23.176769
"349",2008-05-21,26.524286,26.85,25.178572,25.455715,289414300,22.215538
"350",2008-05-22,25.608572,25.904285,24.571428,25.292856,301683900,22.073412
"351",2008-05-23,25.824286,25.998571,25.4,25.881428,226729300,22.587063
"352",2008-05-27,26.107143,26.632856,25.977142,26.632856,197476300,23.242847
"353",2008-05-28,26.772858,26.85,26.245714,26.715714,185994900,23.315157
"354",2008-05-29,26.68,26.885714,26.5,26.67,161796600,23.275259
"355",2008-05-30,26.778572,27.077143,26.768572,26.964285,152546100,23.532089
"356",2008-06-02,26.942858,27.092857,26.361429,26.585714,169960000,23.20171
"357",2008-06-03,26.694286,26.885714,26.048571,26.481428,187630100,23.110691
"358",2008-06-04,26.288572,26.727142,26.175714,26.455715,181745900,23.088251
"359",2008-06-05,26.620001,27.120001,26.528572,27.061428,188861400,23.616865
"360",2008-06-06,26.857143,27.135714,26.507143,26.52,241605700,23.144352
